22,26,1,0.940215,10
22,26,1,0.282131,9
40,62,1,0.518079,9
40,62,1,2.755976,11
64,110,1,1.672877,11
64,110,1,0.628643,9
76,134,1,1.334772,9
76,134,1,2.402877,11
88,158,1,5.097360,11
88,158,1,1.028368,9
40,64,1,48.816180,14
64,112,1,53.128230,14
76,136,1,67.058590,14
88,160,1,69.256713,14
27,33,1,0.477643,10
27,33,1,3.174263,12
48,78,1,2.687694,12
48,78,1,24.497881,14
76,138,1,44.908514,14
76,138,1,3.541921,12
90,168,1,4.173577,12
90,168,1,19.305300,14
104,198,1,35.166280,14
104,198,1,3.600420,12
