Id,Atoms,Actions,Solve,Time,Size
1,22,26,1,1.038187,10.0
2,22,26,1,0.186141,9.0
3,40,62,1,0.28970799999999997,9.0
4,40,62,1,1.817334,11.0
5,64,110,1,5.4549330000000005,11.0
6,64,110,1,0.268842,9.0
7,76,134,1,0.347067,9.0
8,76,134,1,3.705796,11.0
9,88,158,1,4.5862110000000005,11.0
11,88,158,1,0.41276,9.0
12,40,64,1,113.306225,14.0
13,64,112,1,118.398967,14.0
14,76,136,1,484.02085700000003,14.0
15,88,160,1,237.453723,14.0
16,27,33,1,0.459037,10.0
17,27,33,1,1.568459,12.0
18,48,78,1,5.034657,12.0
19,48,78,1,28.41465,14.0
20,76,138,1,45.726928,14.0
21,76,138,1,4.777406,12.0
22,90,168,1,3.210181,12.0
23,90,168,1,48.611202,14.0
24,104,198,1,39.411543,14.0
25,104,198,1,5.252593,12.0
26,48,80,1,1924.323871,17.0
27,48,80,1,127.93234299999999,15.0
28,76,140,1,169.288309,15.0
29,76,140,1,1670.847567,17.0
30,90,170,1,1589.441441,17.0
31,90,170,1,311.880852,15.0
32,104,200,1,221.04513799999998,15.0
33,104,200,1,4411.699914,17.0
34,32,40,1,14.200010999999998,13.0
35,32,40,1,15.956094,15.0
36,56,94,1,90.005049,15.0
37,56,94,1,6.732939999999999,13.0
38,88,166,1,9.258635,13.0
39,88,166,1,90.18483,15.0
40,88,166,1,397.624925,17.0
41,104,202,1,34.205666,15.0
42,104,202,1,397.038804,17.0
43,120,238,1,908.421602,17.0
44,120,238,1,59.293034999999996,15.0
45,120,238,1,1101.583151,17.0
46,56,96,1,502.999721,16.0
47,56,96,1,2463.942623,18.0
48,88,168,1,2574.447405,18.0
49,88,168,1,1937.380259,18.0
50,88,168,0,,
51,88,168,0,,
52,104,204,0,,
53,104,204,1,2970.958684,18.0
54,104,204,1,261.664984,16.0
55,120,240,1,590.959059,16.0
56,120,240,1,4548.523787,18.0
57,120,240,1,5374.405760000001,18.0
58,37,47,1,6.527938,14.0
59,37,47,1,41.433840000000004,16.0
60,64,110,1,68.04737,16.0
61,64,110,1,11.884181,14.0
62,100,194,1,54.47367,16.0
63,118,236,1,89.300375,16.0
64,118,236,1,372.806844,18.0
65,136,278,1,348.940085,18.0
66,136,278,1,82.59519,16.0
67,64,112,1,1351.994931,19.0
68,64,112,0,,
69,100,196,1,683.410077,17.0
70,100,196,1,3061.7806379999997,19.0
71,118,238,0,,
72,118,238,0,,
73,136,280,0,,
74,136,280,1,7207.664725,19.0
75,136,280,1,423.444659,17.0
